index_op;trans_date_trans_time;merchant;category;amt;city;state;latitude;longitude;city_pop;job;dob;trans_num;merch_lat;merch_long;is_fraud
0;2019-01-01T00:00:44.000;Heller, Gutmann and Zieme;grocery_pos;107.23;Orient;WA;488.878;-1.182.105;149;Special educational needs teacher;1978-06-21T00:00:00.000;1f76529f8574734946361c461b024d99;49.159.047;-118.186.462;0
1;2019-01-01T00:00:51.000;Lind-Buckridge;entertainment;220.11;Malad City;ID;421.808;-112.262;4154;Nature conservation officer;1962-01-19T00:00:00.000;a1a22d70485983eac12b5b88dad1cf95;43.150.704;-112.154.481;0
2;2019-01-01T00:07:27.000;Kiehn Inc;grocery_pos;96.29;Grenada;CA;416.125;-1.225.258;589;Systems analyst;1945-12-21T00:00:00.000;413636e759663f264aae1819a4d4f231;4.165.752;-122.230.347;0
3;2019-01-01T00:09:03.000;Beier-Hyatt;shopping_pos;7.77;High Rolls Mountain Park;NM;329.396;-1.058.189;899;Naval architect;1967-08-30T00:00:00.000;8a6293af5ed278dea14448ded2685fea;32.863.258;-106.520.205;0
4;2019-01-01T00:21:32.000;Bruen-Yost;misc_pos;6.85;Freedom;WY;430.172;-1.110.292;471;Education officer, museum;1967-08-02T00:00:00.000;f3c43d336e92a44fc2fb67058d5949e3;43.753.735;-111.454.923;0
5;2019-01-01T00:22:06.000;Kunze Inc;grocery_pos;90.22;Honokaa;HI;200.827;-155.488;4878;Physiotherapist;1966-12-03T00:00:00.000;95826e3caa9e0b905294c6dae985aec1;19.560.013;-156.045.889;0
6;2019-01-01T00:22:18.000;Nitzsche, Kessler and Wol;shopping_pos;4.02;Valentine;NE;428.062;-1.006.215;4005;Network engineer;1945-03-15T00:00:00.000;20490f3f0966ce74b4aaba8dc2c4ed52;4.247.559;-101.265.846;0
7;2019-01-01T00:22:36.000;Kihn, Abernathy and Douglas;shopping_net;3.66;Westfir;OR;437.575;-122.481;597;Forensic psychologist;1961-05-19T00:00:00.000;870c92b288a974a2faf1f24b05c27e33;44.278.191;-121.815.161;0
8;2019-01-01T00:31:51.000;Ledner-Pfannerstill;gas_transport;102.13;Thompson;UT;389.999;-109.615;46;Surveyor, minerals;1987-04-23T00:00:00.000;47238da5b40d126c8abea40a857c7809;39.807.313;-109.348.294;0
9;2019-01-01T00:34:10.000;Stracke-Lemke;grocery_pos;83.07;Conway;WA;48.34;-1.223.456;85;Research officer, political party;1984-09-01T00:00:00.000;9b7a0619dcc5c572dc134f2827ed5a6b;48.682.111;-122.719.904;0
10;2019-01-01T00:40:50.000;Cummerata-Jones;gas_transport;70.53;Athena;OR;458.289;-1.184.971;1302;Dealer;1976-10-18T00:00:00.000;7b91bd200c11c5cd24b43694e12b5bbc;46.043.252;-117.962.133;0
11;2019-01-01T00:41:45.000;Huel-Langworth;misc_net;177.57;Thompson;UT;389.999;-109.615;46;Surveyor, minerals;1987-04-23T00:00:00.000;048dc7fc7ae8efd51f59f7176e6a8bd7;38.419.431;-109.380.252;0
12;2019-01-01T00:46:18.000;Ferry, Lynch and Kautze;misc_net;2.76;San Jose;CA;373.304;-1.217.913;973849;Science writer;1955-06-12T00:00:00.000;70ca7fe41f09770d724a027152dcb9f0;37.548.452;-121.536.454;0
13;2019-01-01T00:49:25.000;Little, Gutmann and Lynch;shopping_net;83.52;Ravenna;NE;410.233;-989.041;2202;Solicitor, Scotland;1974-06-21T00:00:00.000;5f7aafc802c8acb5924041bca310040f;40.992.141;-98.831.582;0
14;2019-01-01T00:56:12.000;Swaniawski, Lowe and Robel;shopping_pos;317.14;Parks;AZ;352.563;-111.95;759;Geologist, engineering;1957-03-28T00:00:00.000;3fe3286b0ea3f8c8857ec2e3da17b853;35.268.124;-112.682.895;0
15;2019-01-01T00:56:59.000;Reichert, Huels and Hoppe;shopping_net;113.4;Fort Washakie;WY;430.048;-1.088.964;1645;Freight forwarder;1976-02-26T00:00:00.000;9d660a18154a3ba5fe869f373c6f819c;42.868.965;-10.850.335;0
16;2019-01-01T01:00:48.000;Howe Lt;misc_pos;218.71;Littleton;CO;395.994;-1.050.044;320420;Water engineer;1975-07-31T00:00:00.000;43204045928cb3449edc63078a75b48c;39.335.171;-104.102.882;0
17;2019-01-01T01:02:16.000;Wolf Inc;grocery_pos;89.11;Meadville;MO;397.795;-933.014;964;Tourist information centre manager;1974-12-23T00:00:00.000;1cb03ad950bab1ca74b02500644ec1ba;40.773.306;-92.821.257;0
18;2019-01-01T01:04:48.000;Vandervort-Funk;grocery_pos;50.68;Moab;UT;385.677;-1.095.271;9772;Location manager;1989-11-24T00:00:00.000;61861370b5c31b9c00fd949124944d7a;38.482.541;-108.853.856;0
19;2019-01-01T01:09:41.000;Ledner-Pfannerstill;gas_transport;90.54;Hawthorne;CA;339.143;-1.183.493;93193;Editor, magazine features;1995-04-19T00:00:00.000;295b782f9fa48f76f508179ec6412f9d;32.990.285;-117.836.803;0
20;2019-01-01T01:19:02.000;Schaefer, McGlynn and Bosco;gas_transport;51.33;Manville;WY;42.73;-1.047.024;241;Educational psychologist;1980-12-16T00:00:00.000;a8af4c635415817aaeea5cbbe380e010;42.508.248;-10.534.481;0
21;2019-01-01T01:22:56.000;Fisher-Schowalte;shopping_net;226.33;June Lake;CA;377.773;-1.190.825;633;Health service manager;1927-09-09T00:00:00.000;208e003f309f9db37b3c40ddc9271908;36.819.789;-119.670.559;0
22;2019-01-01T01:23:00.000;Medhurst PLC;shopping_net;215.99;Sixes;OR;42.825;-1.244.409;217;Retail merchandiser;1928-10-01T00:00:00.000;e13482d8e24ed41362ff84bb9f100623;42.988.724;-123.904.978;0
23;2019-01-01T01:23:17.000;Kerluke Inc;misc_net;1.47;Holstein;NE;404.542;-986.538;331;Telecommunications researcher;1950-08-19T00:00:00.000;6569a85a160476c677bf9a4c2da40cfd;4.114.486;-9.938.762;0
24;2019-01-01T01:23:50.000;Bauch-Rayno;grocery_pos;122.05;Westerville;NE;414.193;-993.844;73;Product designer;1935-02-10T00:00:00.000;d83aa7370cef2c7a209118f313d0b360;41.609.064;-99.650.276;0
25;2019-01-01T01:34:25.000;Hills-Olson;grocery_net;27.03;Ballwin;MO;38.577;-905.255;92608;Engineer, communications;2001-07-26T00:00:00.000;011f7fc2db063dc3f63219a76e052ace;38.984.909;-90.842.219;0
26;2019-01-01T01:36:06.000;Durgan-Aue;misc_net;23.8;Fields Landing;CA;407.268;-1.242.174;276;Scientist, audiological;1929-05-06T00:00:00.000;98fec127a1545ec4dad787e5326bd374;40.110.823;-124.429.537;0
27;2019-01-01T01:41:39.000;Pacocha-Bauch;shopping_pos;2.1;Grenada;CA;416.125;-1.225.258;589;Systems analyst;1945-12-21T00:00:00.000;53fb041938a6e239a2e1679d27a7f9c2;41.096.733;-122.623.454;0
28;2019-01-01T01:50:31.000;Reilly, Heaney and Cole;gas_transport;67.91;Fields Landing;CA;407.268;-1.242.174;276;Scientist, audiological;1929-05-06T00:00:00.000;8e364131ffb75a95c9a04b304c9994e4;41.137.569;-12.363.216;0
29;2019-01-01T02:06:56.000;Bradtke PLC;grocery_pos;78.13;Louisiana;MO;394.336;-910.664;4593;Teacher, early years/pre;1940-11-11T00:00:00.000;e46a01d459665d3466b3a2148eb80f4e;40.247.129;-91.699.005;0
30;2019-01-01T02:08:13.000;Zieme, Bode and Dooley;gas_transport;52.67;Kansas City;MO;389.621;-945.959;545147;Counsellor;1987-11-18T00:00:00.000;29768857d3597be571bce4497a48c735;39.662.816;-93.712.244;0
31;2019-01-01T02:08:48.000;Hills-Witting;shopping_net;2.11;Mesa;ID;446.255;-1.164.493;129;Cartographer;1965-12-15T00:00:00.000;3749d51cb61d34bcaae08fcbee53fceb;44.710.102;-117.229.968;0
32;2019-01-01T02:12:07.000;Bernhard, Grant and Langworth;shopping_pos;1.42;Westerville;NE;414.193;-993.844;73;Product designer;1935-02-10T00:00:00.000;0020b02e5638ee80c7176007e1b483fa;40.790.587;-99.011.834;0
33;2019-01-01T02:12:48.000;Lockman Lt;grocery_pos;104.08;Lonetree;WY;410.552;-1.101.603;49;Research scientist (physical sciences);1981-07-05T00:00:00.000;991f851c15545feaa5c0c90e264a66a3;41.677.942;-110.829.354;0
34;2019-01-01T02:13:16.000;Harber Inc;gas_transport;39.98;Centerview;MO;387.897;-938.702;2368;Electronics engineer;1989-07-17T00:00:00.000;f8ab97ed82e0669c50d3d8a60baf9c64;38.995.701;-93.569.356;0
35;2019-01-01T02:14:03.000;Bauch-Rayno;grocery_pos;192.82;Colorado Springs;CO;388.881;-1.046.556;525713;Museum/gallery exhibitions officer;1992-05-09T00:00:00.000;3dcdb9b61cc3770b9c8b78818173e6d6;39.299.824;-103.854.765;0
36;2019-01-01T02:20:48.000;Kerluke, Kertzmann and Wiz;misc_net;6.37;Hawthorne;CA;339.143;-1.183.493;93193;Editor, magazine features;1995-04-19T00:00:00.000;bcff0b6c116a2ed80b212aa3acb07195;34.108.257;-117.549.012;0
37;2019-01-01T02:21:43.000;Johnston, Nikolaus and Maggio;grocery_net;41.01;Blairsden-Graeagle;CA;398.127;-1.206.405;1725;Chartered legal executive (England and Wales);1967-05-27T00:00:00.000;ff342d2dad68412cbc24eb27b2370291;39.949.197;-119.792.299;0
38;2019-01-01T02:26:16.000;Torp-Labadie;gas_transport;49.53;Freedom;WY;430.172;-1.110.292;471;Education officer, museum;1967-08-02T00:00:00.000;c09831d3ebf12b67982f193d03162974;43.038.723;-111.821.595;0
39;2019-01-01T02:28:51.000;Doyle Lt;grocery_pos;157.07;Cardwell;MO;360.434;-902.907;1120;Television floor manager;1957-04-17T00:00:00.000;2718171b5be46962b081ee742ed3cd42;35.632.995;-89.589.641;0
40;2019-01-01T02:31:06.000;McDermott-Rice;misc_pos;13.67;Kansas City;MO;389.621;-945.959;545147;Counsellor;1987-11-18T00:00:00.000;49b8ff92b52599bc8c265d0b8d008593;38.058.492;-94.687.196;0
41;2019-01-01T02:32:26.000;Spinka Inc;grocery_net;57.57;Phoenix;AZ;335.623;-1.120.559;1312922;Contractor;1981-10-24T00:00:00.000;0bffbd021d632206028c981630007c12;32.635.757;-112.195.886;0
42;2019-01-01T02:33:06.000;McGlynn-Jaskolski;misc_pos;99.08;Newhall;CA;343.795;-118.523;34882;Health physicist;1971-04-25T00:00:00.000;56821cb1d8c2c3d57299cc01bfd2e071;34.370.236;-118.195.791;0
43;2019-01-01T02:37:26.000;Schmitt Lt;misc_net;29.19;Tomales;CA;382.427;-1.229.145;337;Occupational psychologist;1954-07-05T00:00:00.000;d51dc2a26160f1425df51982c6d05257;38.882.246;-122.050.228;0
44;2019-01-01T02:42:12.000;Donnelly PLC;misc_net;185.04;Redford;MO;373.272;-910.243;241;Investment analyst;1974-10-27T00:00:00.000;0a630c19d0ef93f9d262d0ef9bff9358;36.518.512;-91.363.405;0
45;2019-01-01T02:42:25.000;Kutch, Hermiston and Farrell;gas_transport;48.66;Weeping Water;NE;408.731;-961.528;1517;Dealer;1951-11-08T00:00:00.000;61efe8834c23dea4a334ea06a4dc293d;41.066.297;-95.412.102;0
46;2019-01-01T02:46:17.000;Torp-Lemke;misc_pos;3.32;Portland;OR;455.303;-1.227.033;841711;Engineer, building services;1963-04-04T00:00:00.000;900f6896c69d904420bec5e52cf49a95;44.727.585;-123.282.623;0
